row_id	eooc_section	item	eooc_role	value_from_this_research	source	status	what_not_to_claim
EOOC011	C. 許容発生率	機能不足の許容発生率 — 導出方法と公開アンカー	EooCの中核。部品が仮定として置くべき数値	**導出方法は公開されている。**ISO 21448 が挙げる受容原理は GAMAB(Globally At Least As Good) / PRB(Positive Risk Balance) / ALARP / MEM。公開アンカーは人間ドライバーの事故率——死亡事故 約1件/1億マイル。GAMABで置くと車両レベルの目標は 10^-8 /km オーダー、文献が引く受容基準も概ね 10^-8 /時間 のオーダー。分解の道筋は「全体受容基準 → シナリオクラス別 validation target → 部品の寄与」。**部品側が出せるのは、宣言した粒度での自己の実測発生率まで。**この program における配分値のみがOEMの決定である	ISO 21448(受容原理) / 公開統計(人間ドライバー事故率) / docs/177	埋まる(方法と公開アンカーまで)	10^-8 は車両レベルの桁感であり、部品の機能不足に直接あてはめない。配分はOEMの決定であり部品側は代行しない
EOOC012	C. 許容発生率	program固有の閾値	仮定を1つ置けるか、program単位か	手法は車種を跨いで移るが**閾値は移らない**。実装は車種ごとの母集団較正を前提に設計する。したがってEooCの仮定は program 単位でしか置けない	docs/147	制約(仕様として明記)	汎用ライブラリとして車種横断の単一閾値を主張しない
EOOC013	C. 許容発生率	SOTIF要求が部品側へ降りる経路	EooCが実際に運用される構造の確認	**公開文書で経路が閉じた。**規制(EU 2022/1426 ISMR、2022-08発効 / UN ADS GTR、2026-06-22〜26 WP.29第199回で採択) → OEMのライフサイクル安全管理システム(SMS)と safety case → 部品を文脈外要素として組み込む → ISO 21448 Clause 4.4.3 の SOTIF-EooC → 部品側が仮定(使われ方の前提・発現条件・許容発生率)を差し出す → 運用フェーズの市場検証。**各段が公開文書で確認できる**	docs/177, docs/178	埋まる(構造として確認)	個別の調達文書に書かれているかは本研究の問いではない(AGENTS.md 0条)。構造が閉じた時点で問いは終了
EOOC014	D. 市場検証	報告する内容(payload)	運用フェーズ監視へ差し出す実体	8フィールド: component / observed_context / event_relation / severity_language / recurrence / confidence / recommended_read / boundary	docs/121	埋まる	payloadは観測事実まで。原因断定・交換時期・安全保証を含めない
EOOC015	D. 市場検証	仮定が守られているかの確認方法	市場投入後に何を数えるか	同一個体の時間変化における、閾値未満eventの再発カウント(key cycle recurrence)。単発の発火では路面カント・積載と区別できない	docs/121, docs/144	埋まる	再発の観測を故障予測と言い換えない
EOOC016	D. 市場検証	外部データで代替できるか	部品側インプットが必要である根拠	代替できない。苦情・リコール等の外部データではEPS内部の前駆信号は観測できない。リコール識別モデルv2は事前登録基準に対し不成立(precision 0.48 / recall 0.26 < bar 0.5/0.3)	docs/143, docs/145	埋まる	『外部データが劣る』ではなく『原理的に別の観測点』と書く
EOOC017	D. 市場検証	閾値未満情報の予測価値	仮定検証に閾値未満eventを使う正当性	英国車検2024-2025の約1,700万個体連結で、兆候のみ(advisory/minor)の個体は翌年の操舵系不合格率が clean 比 最大24.1倍(車齢4-7年、10.32% vs 0.43%)。若い車では兆候のみ群(10.3%)が不合格群(7.5%)を上回る	docs/150	埋まる	これは検査員の目視観察の予測力であって、ECU内部信号の予測力ではない
EOOC018	B. 機能不足の観測	巻線劣化の実測signature(モデル非依存)	EooCで宣言する観測量のうち、合成ではなく実測に基づくもの	1.0 kW級三相PMSM(EPSアシストモータ/SbW road wheel actuatorと同型・同出力帯)で、巻線間短絡severity 3.35%→21.69% に対し相電流の基本波不平衡は健全比 2.4倍→4.0倍 と単調増加。**同一個体・同一記録内のゆらぎは最大9.5%であり、最小severityでも効きはゆらぎの15倍**。したがって**同一個体の時間変化としてなら兆候は明瞭に掴める**。ただし個体間の横断比較では、セットアップ差(2〜8倍)が故障の効きを飲み込むため成立しない	docs/162 (実測: DS011 / KAIST, CC BY 4.0)	埋まる(実測)	ベンチ機の測定であり操舵系に組み込んだ状態の値ではない。健全機のばらつきは1台の短時間ゆらぎしか測っておらず、経年・温度・負荷による同一個体の変動は未測定。物理モデルは検証に失敗しており(docs/162)、この行は実測のみに基づく
EOOC019	B. 機能不足の観測	巻線故障の物理モデルによる外挿	モデルで観測量を宣言できるか	**できない。検証して不成立。**三相PMSM巻線間短絡の一次モデルは、事前登録した基準に対し不成立(単調性 ρ=0.38 < 0.8、基準3は評価不能)。不一致の主因は測定側の2セッション段差(C相極性反転を含む)と特定したが、事前登録どおりの判定は不成立である。**モデルは実測に合うまで調整していない。**したがって本シートの数値は、すべてモデルではなく実測または合成注入に基づく	docs/161, docs/162	埋まる(不成立の記録)	再挑戦する場合は閉ループ制御器を含め、そのパラメータも事前登録する。自由度を増やして合わせにいかない
EOOC020	E. Triggering conditions	持続的な高アシスト要求(低速・大舵角)	機能不足を発現させる運転条件。ISO 21448 Clause 4.4.3 が部品側に文書化を求める中核	駐車・切り返しなど低速で大舵角が持続する条件。熱余裕を消費し、熱ディレーティングの発動点に近づける。公開リコールが集中する条件と一致(MKT003〜010「Increased steering effort」「risk higher at low speeds」)	docs/170, data/bmr001_market_pain_scenario_cards.tsv (SCN001)	埋まる	この条件で必ず機能不足が起きるとは言わない。余裕を消費する条件である
EOOC021	E. Triggering conditions	電源電圧の低下・不安定	同上	始動時の電圧低下、短時間の電圧dip。公開一次文書で確認済み——Ford SSM 49530(2021年F-150、始動時8V未満→内部故障系code保存→PSCM交換不要とOEMが説明)	docs/130, data/eps_public_market_pain_cases.tsv	埋まる	電源起因と断定しない。contextとして観測する
EOOC022	E. Triggering conditions	依存signalの異常(通信入力)	同上	他系統からの無効signalが操舵側の判断へ波及する。GM TSB 17-NA-158(無効な冷却水温signal→操舵警告→「U0401:71でgearを交換するな」という公式警告と誤交換の記録)	docs/130	埋まる	原因の断定をしない。同時性の記録に留める
EOOC023	E. Triggering conditions	振動・微摺動(接点のfretting)	同上	コネクタ接点の微摺動による酸化。GM 4キャンペーン(16V160/17V382/19V801/20V254)が「EPSモジュールとトルクセンサ間コネクタの腐食→アシスト喪失」と記載。発現は断続的で、再始動で回復し再発する(MKT011〜016)	docs/171, docs/176	埋まる	進行の速度は公開情報では不明(docs/175で問いを閉じた)
EOOC024	E. Triggering conditions	路面カント・積載(誤発火側の条件)	機能不足ではなく、観測指標を誤って発火させる条件。宣言しないと市場で誤警報になる	定常的な横加速度オフセットを生む条件。bias特徴量は最小試験量でも100%発火するため、**単発判定では路面カント・積載と区別できない**。だから再発判定(k-of-N)が要る	docs/144, docs/155	埋まる(負の条件)	これは機能不足ではない。誤発火条件として宣言する
EOOC025	F. Integration requirements	OEM側が統合時に検証すべきこと	EooCは片務ではない。部品側の仮定の妥当性は、OEMが車両レベルのSOTIF活動で確立する	①EOOC001〜004の使われ方の前提が、対象車両の実運用分布と合致するか ②EOOC020〜024の発現条件が車両レベルで実際に生じるか ③EOOC011の許容発生率をOEMが定め、EOOC006/018の観測粒度でそれが検証可能か ④誤発火条件(EOOC024)が車両側の運用で許容できるか	ISO 21448 Clause 4.4.3	OEMの領域	部品側はこの検証を代行しない。項目を差し出すところまでが部品側の範囲
EOOC026	F. Integration requirements	仮定が破れたときの扱い	市場で観測値が仮定を超えた場合の手順	**部品側の範囲は定義できる。**①事実を記録する(時刻・動作点・再発回数・宣言範囲からの逸脱量) ②payload(EOOC014)として出す ③**自己診断も是正要否の判断もしない**。OEM側の範囲は、調査・是正・当局への報告であり、これは EU 2022/1426 ISMR と UN ADS GTR の SMS が課す義務である。**境界は「部品は観測事実まで、判断はOEM」**	docs/121, docs/177	埋まる(部品側の範囲。OEM側は境界として明記)	部品側が安全上の判断をしない。「是正が必要」「安全である」のいずれも言わない
EOOC027	G. Capability 決定則	capability の定義式(パワー段)	劣化から STR capability 値をどう導くか	**取り下げ。**C = sqrt(R_on_base/R_on(t)) は導通損(I^2R、スイッチ動作)から導いたが、NASA MOSFETは能動領域で動作しており導通抵抗を測っていない(docs/199)。この式でcapability比を計算したことにならない	docs/192, docs/193, docs/199	取り下げ(docs/199)	能力比として使ってはならない。残るのは劣化指標としての用途のみ
EOOC028	G. Capability 決定則	capability の定義式(巻線)	同上、別機構	**1.0 kWの1機体でしか成立しない。**C = H(t)/H(0) は1.5/3.0 kWで再現せず、層間短絡で ρ = -1.000 / +1.000 / +0.400 と向きが揃わない(docs/203)	docs/194, docs/195, docs/203	1機体限定(docs/203)	機体をまたぐcapability指標として使ってはならない。符号が機体で逆になる
EOOC029	G. Capability 決定則	宣言粒度	この規則が分解できる最小のcapability変化	0.081〜0.641%(パワー段6個体)、0.145〜1.005%(巻線1機体4段階)。**これは測定の分解能であって確度ではない(docs/197)。**実車の値は0.19〜0.25 m/s²で、0.10 m/s²に届くのに2〜5秒の窓が要る(docs/221, docs/223)	docs/193, docs/195, docs/197, docs/221, docs/223	埋まる(分解能。確度ではない)	分解能と確度を混ぜない。実験室の値を実車に移さない。粒度未満の変化について何も宣言しない
EOOC030	G. Capability 決定則	仮定: 熱抵抗一定	規則が成立するための前提と、外れたときの向き	Rthは寿命を通じて一定と仮定する。**素子近傍(時定数約70μs)の熱経路は劣化しなかった(docs/199、6中0、比0.909〜0.996)ため、この仮定は当初恐れたほど悪くない。**ただしダイアタッチの時定数は400μsのパルスより長い側にあり閉じていない	docs/192, docs/189, docs/199	埋まる(上限が測れた)	「ダイアタッチも無事」とは言わない。測れたのはダイ本体までである
EOOC031	G. Capability 決定則	主張しないこと: 警報の早さ	規則が与えないもの	個体基準は母集団閾値+温度補償より早くは鳴らない。事前登録P1は6個体中3で不成立	docs/193	不成立を記録	「壊れる前に教えます」は主張しない。個体基準が与えるのは値の解像度であって時期ではない
EOOC032	G. Capability 決定則	故障未到達での能力低下量	故障が立たないまま失われる能力の実測幅	パワー段: 劣化系列終端で自身の基準比 0.832〜0.930。**ただしEOOC027のとおり式の物理が成立しないため、これは劣化指標であって能力比ではない(docs/199)。**巻線: severity21.69%で0.952、ただし1機体限定(docs/203)	docs/193, docs/195, docs/199, docs/203	劣化指標であり能力比ではない(docs/199)	能力の喪失量として引用してはならない。MOSFETは加速試験。両方ともEPS実機ではない
EOOC033	G. Capability 決定則	許容できるcapability低下の下限	どこまで縮んだら機能不足と見なすか	**空欄。OEMが埋める。**車両レベルの安全目標からの配分であり、公開情報では原理的に届かない	docs/153	空欄(OEM)	部品側が決められる値ではない。EOOC003と同じ理由で閉じる
EOOC034	F. Integration requirements	出荷時指紋の取得範囲	部品側の製造プロセスに立つ要求	指紋は運用中に動く動作点範囲を掃引して採ること。実測ではスパン約10°Cに対し運用は20〜31°C動き、劣化期間が全部外挿になった。6個体中1個体は終端で宣言を失った	docs/196	埋まる(要素として組んで判明)	何度掃引すべきかの具体値は機種依存。ここで言えるのは「1点では足りない」まで
EOOC035	G. Capability 決定則	外挿時の粒度の扱い	指紋スパン外で宣言を続けるための規則	外挿距離に比例して粒度を膨らませる g_eff = g*(1+d/span)。スパンの2倍を超えたら宣言しない。実測で粒度は1.46〜2.07倍	docs/196	埋まる(設計判断)	この比例則は検証していない。保守側に置いた設計判断である
EOOC036	G. Capability 決定則	機構間の合成則	複数機構が同時に劣化した場合のcapability	C = C_巻線 × C_パワー段（トルクは平均相電流に、熱上限は最大相電流に効くため別因子）。粒度は二乗和平方根	docs/196	宣言のみ・未検証	両機構を同時に持つ公開個体が無く検証不能。同じ上限を奪い合う構造ならmin()が正しく保守側
EOOC037	F. Integration requirements	個体基準の記憶容量	この機能が部品側に要求する不揮発領域	1個体あたり48バイト(旧記述の36バイトは誤り。docs/265で実測)（パワー段24＋巻線12、float32で9個）	docs/196, docs/265	埋まる	実装形式・冗長化・書換え回数は含まない
EOOC038	G. Capability 決定則	宣言粒度の意味	宣言している数値が何を表すか	0.08〜1.0%は測定の分解能である。capability値の確度ではない。確度はRth一定の仮定に支配され、その仮定は未検証	docs/197	埋まる(自己訂正)	「粒度0.1%で当たる」とは言えない。分解能と確度を混ぜない
EOOC039	G. Capability 決定則	Rth劣化に対する補正形	統合側が自前のRthで宣言値を補正する方法	C_true = C_declared / sqrt(k)。k は熱抵抗の増加倍率。楽観の量は sqrt(k)-1 で、k=1.02 で1.00%、k=1.20 で9.54%	docs/197	形は埋まる・kはOEM	kの値は部品側では決まらない。公開データでは0.16〜2.0%の増加で誤差が分解能に並ぶことまで
EOOC040	G. Capability 決定則	Rth劣化量の上限	仮定が外れうる最大幅	正規化後R_on上昇が全て熱由来だった場合、接合部はパッケージ読みより30〜76°C高い。下端はk=1で宣言は正確。両端を分離する手段は公開データに無い	docs/197, docs/189	上限のみ埋まる	真値を推定しない。直接測定はdocs/189②で失敗している
EOOC041	F. Integration requirements	出荷時指紋の掃引幅(数値)	EOL工程に立つ具体要求	動作点は指紋を採った幅の1.7〜3.0倍を動く。指紋は運用で想定される動作点範囲を掃引して採ること	docs/197	埋まる	3.0倍はこのデータでの実測。機種ごとに運用範囲から決めること
EOOC042	G. Capability 決定則	機体をまたぐ再現性	同型別機体で同じ指標が成立するか	成立しない。KAIST 3機体(1.0/1.5/3.0 kW)で層間短絡の相電流平衡指標は ρ = −1.000 / +1.000 / +0.400 と向きが揃わない	docs/203	不成立を記録	1機体で得た指標を機種展開できると仮定してはならない。現時点で機体をまたぐ capability 指標は無い
EOOC043	F. Integration requirements	測定キャンペーンの層別	基準取得と評価の前提条件	同一データセットでも測定日が違えば水準が段差を持つ。KAIST 3機体6セル全部で確認。日付はファイルのメタデータから復元できる	docs/203, docs/162	埋まる	個体基準は「同一個体」だけでなく「同一測定条件」でなければならない。日付をまたいだ基準は使えない
EOOC044	G. Capability 決定則	機体をまたぐ逸脱指標	符号を捨てた検知なら成立するか	成立する。電気周波数2倍の振動振幅が3機体5セルすべてで単調かつ自ノイズの3倍超。相電流ベース(平衡・逆相比)は両方とも不成立	docs/205	成立(1指標のみ)	capability値ではなく逸脱の検知である。「本来の何%か」は言えない。V1は事前に値を見ていた特徴量であり盲検ではない
EOOC045	B. 機能不足の観測	検出できる最小severity	どこから検出できるか	機体をまたがない。3.35%(1.0kW層間)〜17.86%(3.0kW層間)で5倍以上ひらく。3.0kWでは5.16%の層間短絡がD=0.7で見えない	docs/205	不成立を記録	検出の早さを宣言してはならない。「検出できる」ことのみ機体をまたぐ
EOOC046	F. Integration requirements	必要なセンサ	この機能が要求するセンサ構成	加速度計が要る。EPSのECUが制御用に必ず持つ相電流だけでは、機体をまたぐ逸脱指標が得られない(C1・C2とも不成立)	docs/205	埋まる(不利)	設置位置の要求は評価していない(データは1ch)。相電流が単一機体で有効な場合を否定するものではない
EOOC047	A. 使われ方の前提	パワーステアリング兆候の先行性	実車での兆候→故障の先行率	英国車検2024→2025、両年受検2,655万台。PS兆候のみ54,431台の翌年PS不合格率2.333%(clean 0.069%、33.9倍)	docs/207	埋まる	兆候の74.2%は油圧系の漏れであり電動EPSを代表しない。検査員の目視所見であって部品内部の状態ではない
EOOC048	B. 機能不足の観測	車検制度が持たない区分	外部観測で前駆が取れない構造的理由	機能系項目(inoperative/malfunctioning/warning lamp)にadvisoryの区分が存在しない。機能は「半分動く」を記録できない	docs/207	制度的制約として確定	データが少ないのではなく区分が無い。断続故障の前駆は車検からは原理的に取れない
EOOC049	B. 機能不足の観測	実車での観測床	実車での標本あたりノイズ床	0.19〜0.25 m/s²(3σ相当)。commaSteeringControl 4車種2,495ログ、10Hz	docs/221	埋まる(実車)	残差はEPSの測定量ではない。制御器追従誤差・路面外乱・推定誤差を含む。故障ラベル無し
EOOC050	B. 機能不足の観測	0.10 m/s² に必要な窓長	宣言した粒度に到達するための観測時間	2.0秒(FORD/GENESIS/HONDA)、5.0秒(AUDI)。白色雑音の 1/√N より1.6〜2.3倍効きが悪い	docs/223	埋まる(実車)	床が下がることまで。検出確率90%・誤検出率は実車で確かめていない(docs/144は合成注入)
EOOC051	F. Integration requirements	基準の適用範囲	個体基準をどこまで使い回せるか	使い回せない。床は車種間で1.3倍、同一車種内の群間で1.2倍ひらく(AUDI Q3のfirmware2版)	docs/221, docs/223	埋まる	群差の原因がfirmwareだとは言えない(車両個体・走行条件と交絡)。どちらでも使い回せない結論は同じ
EOOC052	F. Integration requirements	個体基準が回復する余裕(実部品)	母集団閾値に対する個体基準の量的な利得	新品40個体(IGBT/MOSFET各20)で、しきい値電圧の個体差が測定ノイズの159〜530倍、IGBT漏れ電流で727倍。母集団閾値はこの散らばりを跨ぐしかない	docs/232	埋まる(実部品で直接測定)	新品であり劣化していない。ばらつきの測定であって前駆ではない。母集団閾値が不利であることの証明であって、個体基準が検出できることの証明ではない
EOOC053	B. 機能不足の観測	個体基準に使えないパラメータ	どの観測量が個体基準の対象にならないか	降伏電圧(IGBT S/R=0.4、MOSFET 0.7)とMOSFET漏れ電流(0.6)は測定ノイズが個体差より大きく、個体の区別ができない	docs/232	埋まる	個体差が小さいのではなく測定が荒い。測定系を変えれば結果は変わりうる
EOOC054	B. 機能不足の観測	事象の持続時間と観測窓の関係	仮定の適用単位。窓を事象より短くすると何を失うか	現場が報告する主要な型は分の尺度で始まりイグニッションまで持続する(苦情1,697件、622件が明示、経過時間の中央値20分)。誤検出1件/時で、5秒固定窓なら床の4.5倍が下限だが、窓を事象に合わせれば20秒の持続で床の1.5倍(約0.31 m/s²)。固定窓は3倍の感度を捨てる	docs/251, docs/253	埋まる(車両レベル)	60秒を超える持続は未検証(1ログが60秒)。現場の20分は外挿していない。部品内部信号での持続型の値は未測定。注入は矩形であり本物の事象ではない
