id_type	id	previous_status	final_status	confidence	final_conclusion	evidence_basis	why_stop_or_limit	reopen_condition	next_owner	what_not_to_claim
ULC	ULC004	Continue second sample / drafted	Final: internal review sample only	Medium	荒れた路面と操舵入力が重なる使われ方は、外販商品ではなく、品質改善・評価企画・顧客技術説明に既存業務との差分があるかを見るサプライヤ内レビューsampleとしてだけ残す。	KGL005/006/007/008; data/ulc004_rough_road_steering_deep_dive.tsv	公開proxyではEPS内部状態が見えず、既存NVH、耐久、評価scenario名の言い換えになりやすい。	品質改善または評価企画が、既存評価・品質分類では足りない具体的判断を挙げた場合だけ再開する。	品質改善; 評価企画; 顧客技術説明	荒れた路面がEPS故障原因、路面分類product、内部stress推定
ULC	ULC005	Merge into ULC004/008	Final: merged / closed	Medium	段差・凹凸と操舵は、駐車場ならULC008、一般路面外乱ならULC004に統合する。	KGL006/008/005; UF012/019	独立させると原因断定に見えやすい。	ULC008/ULC004内で説明上必要な場合だけ使う。	品質改善; 顧客技術説明	段差や凹凸が故障原因という主張
ULC	ULC006	Hold secondary	Final: support input only	Low-Medium	連続振動路と操舵はULC004の補助入力に限る。	KGL006/008/005; UF013	既存耐久、NVH、路面評価の言い換えになりやすい。	ULC004のサプライヤ内レビューで連続振動路を分ける必要が出た場合だけ見る。	評価企画; 品質改善	連続振動からEPS内部劣化を推定する主張
ULC	ULC007	Hold risky	Final: archive / risky	Low	荒い運転と荒れた路面の複合条件は、顧客非難や保証判断に見えやすいため現本線では追わない。	KGL007/006/005; UF008/017	運転者責任、保証判断、原因断定に読まれるリスクが高い。	明確な非難回避ルールとサプライヤ内用途が出ない限り再開しない。	品質改善; 製品企画	顧客の運転が故障原因、保証否認、責任転嫁
ULC	ULC008	Continue first sample / split drafted	Final: internal review sample only	Medium	駐車場、低速、大舵角、凹凸が重なる使われ方は、公開proxyだけでは商品化しない。製品企画と診断企画に既存業務との差分を確認する最初のサプライヤ内レビューsampleとしてだけ残す。	KGL003/005/008; docs/92; data/pvc001_ulc008_two_department_sheets.tsv	凹凸と操舵が同一datasetで揃わず、DTC、freeze frame、交換結果、内部状態も見えない。	製品企画と診断企画の両方が具体的な使い道を挙げ、既存資料では足りない点を示した場合だけ再開する。	製品企画; 診断企画	駐車場走行や凹凸が故障原因、故障予測、交換時期予測、保証費削減
ULC	ULC009	Companion only	Final: companion only / no active item	Low	長時間都市走行と反復操舵は、熱・時間contextの補助列に限る。	KGL003/007/012/005; UF020/021	EPS thermal stateやassist limitationが見えない。	EPS内部thermal/limit stateに触れる検証が可能な場合だけ再評価する。	評価企画; 診断企画	EPS thermal stateやassist limitationを公開proxyから推定したという主張
KGL	KGL001	Hold separate branch	Final: archive input / out of current scope	Medium	Bosch型は製造・EOL予測の入力であり、現テーマでは使わない。	Manufacturing prediction problem	工程検査に戻るため現在の問いとずれる。	製造品質テーマを再開する場合だけ見る。	製造品質; EOL検査	実使用条件やEPSサービス価値の証拠としての主張
KGL	KGL002	Hold separate branch	Final: archive input / out of current scope	Medium	Mercedes型は評価時間予測の入力であり、現テーマでは使わない。	Configuration-to-test-time problem	実使用条件やサービス価値ではなく評価効率の話になる。	評価効率テーマを再開する場合だけ見る。	評価計画; release management	EPS状態予測、実使用価値としての主張
KGL	KGL003	Keep input	Final: input only	Medium	速度、stop-start、運転状態proxyとしてULC001/003/008の根拠入力に限る。	KGL003 row; UF001/005/018	EPS内部状態は見えない。	ULC008の説明で必要な場合だけ参照する。	製品企画; 診断企画	内部故障、DTC不足、交換時期の証拠
KGL	KGL004	Hold boundary input	Final: boundary input only	Medium	CAN攻撃・異常境界としてPVC004の入力に限る。	KGL004; UF026/030	汎用IDS領域と重なる。	PVC004の境界表を精緻化する場合だけ参照する。	診断企画; サイバー担当	汎用cyber商品、EPS故障証拠
KGL	KGL005	Keep core input	Final: input only	Medium	操舵要求proxyとしてULC001/004/008の入力に限る。	KGL005; UF001/002/003/011/019	ADAS制御やEPS内部状態推定へ流れやすい。	ULC008/ULC004の説明で必要な場合だけ参照する。	製品企画; 評価企画	ADAS制御価値、EPS内部stress推定
KGL	KGL006	Keep input	Final: input only	Medium	路面・振動proxyとしてULC004の入力に限る。	KGL006; UF011/012/013/014/016	EPS内部状態は見えない。	ULC004の説明で必要な場合だけ参照する。	品質改善; 評価企画	road product、EPS内部状態推定
KGL	KGL007	Keep hub input	Final: input only	Medium	traffic、driving style、road conditionの複合context入力に限る。	KGL007; UF005/008/014/017/018/020	運転荒さが原因という危険な読みがある。	ULC003/004の補助contextに必要な場合だけ参照する。	製品企画; 品質改善	運転者責任、保証判断、原因断定
KGL	KGL008	Keep support input	Final: input only	Medium	凹凸・段差proxyとしてULC004/008の入力に限る。	KGL008; UF011/012/015/019	操舵角やEPS内部状態は直接見えない。	ULC004/008の説明で必要な場合だけ参照する。	品質改善; 顧客技術説明	road quality product、EPS故障原因
KGL	KGL009	Schema only	Final: schema only	Low	CARLA KPIはfeature schemaだけ借り、実証扱いしない。	Speed/acceleration/jerk/steering behavior schema	シミュレーションで市場実証ではない。	列名整理が必要な場合だけ参照する。	評価企画	市場証拠、EPS内部状態証拠
KGL	KGL010	Schema only	Final: schema only	Low	合成telemetryはdriver behavior schemaだけ借り、実証扱いしない。	Synthetic telemetry schema	合成データであり実証ではない。	列名整理が必要な場合だけ参照する。	評価企画	市場証拠、EPS内部状態証拠
KGL	KGL011	Hold boundary input	Final: boundary input only	Medium	steering spoofingやDoS境界としてPVC004の入力に限る。	KGL011; UF026/027/028/029	汎用IDS/CSMS領域と重なる。	PVC004の境界表を精緻化する場合だけ参照する。	診断企画; サイバー担当	SbW安全証明、EPS品質証拠
KGL	KGL012	Companion only	Final: companion only / no active item	Low	BMW i3 thermal/trip contextは補助列止まりにする。	KGL012; UF020/021/022	操舵信号やEPS thermal stateは見えない。	EPS内部thermal/limit stateに触れる検証が可能な場合だけ再評価する。	評価企画; 診断企画	EPS thermal state、assist limitation、劣化推定
