usage_id	usage_family	category	source_ids	proxy_signals	eps_evaluation_question	diagnostic_question	customer_explanation_question	forbidden_claim	priority	next_check
UF013	連続振動路での操舵	road_and_steering	KGL006; KGL008	vibration; gyro; repeated road imperfection; steering	連続振動と操舵入力が重なる評価があるか	振動由来の症状とEPS警告を切り分けられるか	荒れた舗装での体感と異常の境界を説明できるか	振動proxyから内部劣化を推定しない	High	連続振動の時間窓を仮定して質問化する
UF014	濡れ/滑りやすい路面相当	road_condition	KGL006; KGL007	road surface condition; acceleration pattern; driving style	滑りやすい路面相当の操作条件を評価に入れるか	車両挙動由来とEPS由来の違和感を診断で切り分けるか	路面状態による操舵感変化をどう説明するか	路面分類だけでEPS異常を断定しない	Medium	KGL007のroad surface condition分類を確認する
UF015	低速市街地の凹凸路	road_condition	KGL007; KGL008	urban run; low speed; road imperfections; acceleration	低速市街地の凹凸路を評価scenarioに入れるか	市街地凹凸で出る音/振動とEPS DTCを区別できるか	市街地低速での体感を説明できるか	road quality productへ流れない	Medium	低速 x road imperfectionのfamilyを作る
UF016	高速路面外乱	road_condition	KGL006; KGL007	speed; road surface; acceleration; gyro	高速域での路面外乱と操舵安定性を評価しているか	高速イベントを診断説明で安全主張に使いすぎていないか	高速路面外乱時の操舵感をどう説明するか	安全性能を公開proxyから保証しない	Medium	高速域の扱いは安全主張を避けて質問化する
UF017	荒れた路面 + aggressive driving	combined_usage	KGL007; KGL006; KGL005	driving style; road surface; acceleration; steering	荒い操作と荒れた路面が重なる複合条件を評価しているか	複合条件で出る症状をEPS異常と断定しない診断説明があるか	使用条件が重なった場合の注意を説明できるか	運転荒さや路面から故障原因を断定しない	High	KGL007をハブに複合familyを作る
UF018	渋滞 + 反復操舵	combined_usage	KGL003; KGL005; KGL007	traffic; low speed; steering frequency; stop-start	渋滞中の反復操舵を評価しているか	渋滞文脈をDTC説明に入れられるか	渋滞・駐車に近い状況での体感を説明できるか	渋滞使用で劣化を断定しない	High	stop-startと操舵頻度の組み合わせを作る
UF019	駐車場走行 + 凹凸	combined_usage	KGL005; KGL008	very low speed; steering angle; road imperfection	駐車場の低速大舵角と凹凸を評価しているか	低速凹凸とEPS異常を診断で切り分けるか	駐車場での音/振動/操舵感をどう説明するか	駐車場操作を故障原因と断定しない	High	低速・大舵角・凹凸の3条件を質問化する
UF020	長時間都市走行	combined_usage	KGL003; KGL007; KGL012	urban traffic; trip duration; stop-start; thermal context	長時間都市走行を熱/負荷評価の外部条件に入れるか	長時間使用後の症状説明で内部状態を断定しないか	長時間市街地走行後の体感変化をどう説明するか	EPS thermal stateを公開proxyから断定しない	Medium	KGL012は補助contextとしてだけ使う
UF021	外気高温 + 反復操舵	context	KGL005; KGL012	ambient temperature; steering frequency; trip context	高温環境での反復操舵を評価しているか	DTCや警告がない場合に熱状態を断定しない説明があるか	暑い環境での使用条件をどう説明するか	thermal limitを推定しない	Medium	外気温は補助列として持つ
UF022	EV実走行 + 操舵要求	context	KGL005; KGL012	real driving trip; steering demand proxy; heating/battery context	EV実走行contextを操舵評価の外部条件に入れるか	EV固有contextとEPS診断を混同しないか	EV実走行条件下の体感説明をどうするか	EV battery/heatingからEPS状態を推定しない	Low	KGL012のtrip contextを補助列にするか判断する
UF023	高jerk運転	context_schema	KGL009; KGL010	jerk; acceleration smoothness; braking variability	jerkを使用条件familyの列に入れるか	高jerk操作を診断説明に使う場合の注意はあるか	急な挙動とEPS異常をどう切り分けるか	シミュレーション/合成データを実証にしない	Low	feature schemaとしてjerk列を採用するか見る
UF024	ブレーキ強度が高い操舵	context_schema	KGL009; KGL010	braking intensity; steering behavior	強い制動と操舵が重なる評価条件を持つか	制動由来の車両挙動とEPS異常を切り分けるか	制動中の操舵感を説明できるか	ブレーキ強度からEPS故障を断定しない	Low	braking intensityを補助schemaにする
UF025	車線補正反復	context_schema	KGL009; KGL005	lane deviation; steering correction; steering frequency	車線補正の反復を操舵要求familyに入れるか	ADAS/driver correctionとEPS異常を混同しないか	補正操舵時の体感をどう説明するか	ADAS制御モデル化しない	Low	KGL009はschema onlyで使う
UF026	CAN DoS中の操舵関連signal	communication	KGL004; KGL011	CAN ID; DoS class; timing; steering-related signal	DoS相当の通信異常時にEPSが何を無視/制限するか説明できるか	診断読み順やsecurity accessの注意があるか	通信異常とEPS故障をどう切り分けるか	安全証明やcyber商品化を主張しない	High	KGL004/011で言える/言えない表を作る
UF027	steering wheel spoofing	communication	KGL011	spoofing-STEERING_WHEEL; CAN payload; timestamp	steering wheel spoofing相当の異常入力を安全/診断でどう扱うか	異常入力と実操舵要求を診断でどう区別するか	通信異常が疑われる場合の説明境界は何か	EPS固有診断証拠として扱わない	High	steering spoofingを禁止主張表に入れる
UF028	speed spoofing + 操舵	communication	KGL011; KGL005	spoofing-SPEED; steering angle; CAN payload	速度spoofingと操舵入力が重なる場合の評価質問はあるか	速度情報不整合を診断でどう扱うか	速度情報異常と操舵感をどう切り分けるか	公開datasetでEPS安全性を証明しない	Medium	speed spoofing時の診断質問を作る
UF029	RPM/GAS spoofing + 操舵	communication	KGL011; KGL005	spoofing-RPM; spoofing-GAS; steering demand	駆動系spoofingと操舵要求が重なる時の境界を見ているか	駆動系異常とEPS異常を診断で混同しないか	別ECU由来の異常と操舵感をどう説明するか	EPS原因と断定しない	Medium	cross-ECU異常の禁止主張を作る
UF030	fuzzy attack中の診断	communication	KGL004	CAN fuzzy attack; abnormal payload; flag	予期しないCAN payload時のEPS診断/説明境界はあるか	異常通信時にDTCやfreeze frameをどう信用するか	通信異常がある場合の顧客説明限界は何か	IDS機能やcyber serviceとして売らない	Medium	診断データ信頼性の質問表を作る
